round,teamA,teamB,teamAScore,teamBScore,field
7,Team196,Team187,2,19,Field D
7,Team049,Team238,14,2,Field N
7,Team149,Team251,12,0,Field I
7,Team247,Team253,9,7,Field Y
7,Team083,Team061,1,6,Field V
7,Team072,Team044,18,5,Field X
7,Team151,Team216,16,10,Field X
7,Team228,Team106,0,20,Field T
7,Team167,Team047,8,7,Field A
7,Team041,Team092,3,19,Field T
7,Team190,Team188,7,12,Field Y
7,Team185,Team144,9,19,Field G
7,Team166,Team110,0,20,Field N
7,Team137,Team062,19,5,Field R
7,Team015,Team119,20,18,Field F
7,Team160,Team164,2,12,Field G
7,Team161,Team095,11,16,Field Q
7,Team223,Team202,1,2,Field C
7,Team212,Team220,17,3,Field R
7,Team077,Team195,20,5,Field A
7,Team206,Team070,4,10,Field H
7,Team252,Team248,5,0,Field X
7,Team123,Team118,3,17,Field J
7,Team138,Team176,16,13,Field R
7,Team218,Team098,17,17,Field C
7,Team014,Team002,11,11,Field Y
7,Team153,Team019,6,4,Field O
7,Team152,Team040,5,15,Field L
7,Team065,Team036,11,3,Field D
7,Team215,Team250,1,0,Field H
7,Team038,Team097,8,20,Field B
7,Team022,Team016,12,14,Field J
7,Team189,Team179,2,15,Field N
7,Team135,Team026,2,14,Field Z
7,Team172,Team208,3,4,Field C
7,Team035,Team025,8,13,Field Z
7,Team081,Team058,5,12,Field E
7,Team217,Team031,7,16,Field Y
7,Team244,Team255,1,2,Field O
7,Team048,Team246,18,7,Field R
7,Team132,Team029,13,3,Field Q
7,Team154,Team073,8,7,Field U
7,Team082,Team020,13,8,Field G
7,Team125,Team059,14,18,Field W
7,Team017,Team200,11,7,Field M
7,Team012,Team126,19,14,Field Q
7,Team209,Team207,3,9,Field L
7,Team232,Team236,14,8,Field W
7,Team134,Team111,12,9,Field C
7,Team028,Team060,16,8,Field K
7,Team156,Team004,0,3,Field T
7,Team147,Team162,12,20,Field U
7,Team064,Team116,17,13,Field N
7,Team201,Team219,17,7,Field O
7,Team211,Team013,20,11,Field O
7,Team192,Team240,7,1,Field S
7,Team231,Team210,8,9,Field P
7,Team066,Team178,9,3,Field F
7,Team054,Team108,17,17,Field Z
7,Team191,Team243,19,8,Field C
7,Team087,Team122,9,17,Field W
7,Team021,Team226,12,16,Field Z
7,Team131,Team205,12,11,Field O
7,Team090,Team181,18,14,Field Q
7,Team078,Team005,16,15,Field I
7,Team237,Team146,13,13,Field N
7,Team056,Team105,2,20,Field N
7,Team229,Team085,3,18,Field V
7,Team143,Team109,8,19,Field S
7,Team084,Team068,13,4,Field P
7,Team150,Team091,15,7,Field V
7,Team165,Team169,16,1,Field K
7,Team023,Team094,1,14,Field K
7,Team011,Team249,10,9,Field Y
7,Team174,Team103,17,14,Field C
7,Team230,Team042,11,15,Field O
7,Team177,Team140,5,17,Field Z
7,Team055,Team175,6,9,Field S
7,Team067,Team003,11,11,Field K
7,Team080,Team086,11,0,Field V
7,Team107,Team034,7,5,Field W
7,Team199,Team046,17,3,Field V
7,Team128,Team186,15,17,Field Y
7,Team130,Team171,20,16,Field R
7,Team198,Team102,19,11,Field T
7,Team193,Team033,1,18,Field M
7,Team030,Team114,3,4,Field R
7,Team133,Team099,3,0,Field T
7,Team157,Team221,5,12,Field A
7,Team124,Team256,10,16,Field N
7,Team139,Team032,5,14,Field D
7,Team159,Team096,11,18,Field P
7,Team121,Team071,18,5,Field V
7,Team069,Team079,9,20,Field E
7,Team115,Team006,16,16,Field S
7,Team039,Team182,7,7,Field E
7,Team158,Team051,18,10,Field M
7,Team222,Team075,10,2,Field T
7,Team052,Team254,7,13,Field L
7,Team127,Team104,10,14,Field Z
7,Team024,Team009,8,15,Field Q
7,Team037,Team027,8,0,Field I
7,Team241,Team233,0,3,Field L
7,Team204,Team242,9,20,Field Q
7,Team194,Team148,9,2,Field H
7,Team180,Team184,6,18,Field B
7,Team141,Team197,7,1,Field L
7,Team129,Team053,7,17,Field I
7,Team183,Team173,8,10,Field Q
7,Team045,Team214,6,18,Field M
7,Team010,Team163,16,9,Field S
7,Team089,Team112,14,11,Field D
7,Team168,Team142,18,2,Field Q
7,Team117,Team145,8,10,Field A
7,Team043,Team018,2,16,Field B
7,Team050,Team170,18,10,Field H
7,Team213,Team063,14,4,Field T
7,Team113,Team001,19,4,Field V
7,Team100,Team008,16,19,Field W
7,Team227,Team155,3,15,Field Z
7,Team101,Team074,1,16,Field J
7,Team007,Team239,12,1,Field J
7,Team093,Team245,7,13,Field M
7,Team224,Team225,10,3,Field L
7,Team120,Team057,1,5,Field C
7,Team203,Team136,4,14,Field X
8,Team051,Team062,6,20,Field C
8,Team229,Team206,7,12,Field Q
8,Team095,Team142,3,9,Field E
8,Team174,Team125,16,12,Field Z
8,Team217,Team228,12,15,Field N
8,Team066,Team073,12,14,Field D
8,Team040,Team157,0,3,Field D
8,Team126,Team041,19,12,Field Q
8,Team035,Team026,9,1,Field X
8,Team219,Team137,11,7,Field R
8,Team230,Team179,10,11,Field P
8,Team149,Team089,10,6,Field V
8,Team042,Team021,9,7,Field S
8,Team008,Team200,16,12,Field E
8,Team212,Team213,9,5,Field F
8,Team110,Team239,11,7,Field J
8,Team161,Team119,14,19,Field V
8,Team114,Team078,18,15,Field J
8,Team167,Team046,17,20,Field K
8,Team092,Team001,1,11,Field D
8,Team143,Team251,3,15,Field S
8,Team173,Team016,10,13,Field F
8,Team022,Team131,2,4,Field L
8,Team100,Team056,20,5,Field T
8,Team215,Team159,6,5,Field A
8,Team058,Team203,5,15,Field R
8,Team198,Team204,5,2,Field D
8,Team088,Team064,3,14,Field X
8,Team235,Team091,11,13,Field N
8,Team171,Team123,0,18,Field J
8,Team144,Team227,11,14,Field U
8,Team169,Team196,18,20,Field R
8,Team210,Team130,7,14,Field V
8,Team108,Team107,20,2,Field I
8,Team160,Team232,3,9,Field I
8,Team139,Team068,5,9,Field M
8,Team071,Team079,20,0,Field J
8,Team242,Team070,4,0,Field X
8,Team093,Team236,10,3,Field P
8,Team189,Team178,12,17,Field J
8,Team201,Team077,2,4,Field G
8,Team086,Team036,10,17,Field O
8,Team248,Team224,20,16,Field W
8,Team256,Team247,8,6,Field K
8,Team059,Team208,17,6,Field P
8,Team099,Team117,16,1,Field X
8,Team152,Team145,11,14,Field A
8,Team020,Team245,3,17,Field C
8,Team241,Team175,18,16,Field Y
8,Team060,Team188,13,3,Field U
8,Team087,Team197,5,17,Field Z
8,Team254,Team153,19,11,Field F
8,Team194,Team111,18,4,Field R
8,Team047,Team253,18,4,Field O
8,Team113,Team180,14,8,Field P
8,Team031,Team183,10,18,Field T
8,Team109,Team165,2,7,Field F
8,Team075,Team013,4,11,Field G
8,Team084,Team168,8,1,Field F
8,Team238,Team186,14,1,Field S
8,Team192,Team024,18,7,Field D
8,Team240,Team222,1,6,Field R
8,Team166,Team090,15,3,Field L
8,Team176,Team150,15,5,Field M
8,Team101,Team032,10,10,Field E
8,Team172,Team037,1,14,Field N
8,Team207,Team019,13,15,Field T
8,Team151,Team015,5,15,Field Y
8,Team029,Team146,3,6,Field Z
8,Team118,Team226,12,13,Field D
8,Team048,Team081,2,13,Field I
8,Team132,Team076,5,10,Field Q
8,Team164,Team124,11,11,Field I
8,Team057,Team085,17,19,Field X
8,Team134,Team148,12,20,Field N
8,Team074,Team252,5,0,Field T
8,Team003,Team243,19,16,Field R
8,Team049,Team106,17,1,Field E
8,Team195,Team255,4,19,Field D
8,Team133,Team199,14,10,Field M
8,Team223,Team006,20,11,Field R
8,Team250,Team065,4,0,Field O
8,Team050,Team136,12,6,Field K
8,Team156,Team028,17,14,Field I
8,Team187,Team216,13,10,Field H
8,Team096,Team083,15,19,Field Z
8,Team205,Team225,3,4,Field K
8,Team184,Team072,19,18,Field A
8,Team121,Team004,6,5,Field U
8,Team055,Team116,12,20,Field U
8,Team030,Team231,11,14,Field Y
8,Team104,Team115,7,1,Field X
8,Team185,Team094,15,0,Field D
8,Team182,Team191,19,2,Field E
8,Team237,Team202,13,11,Field Y
8,Team244,Team054,5,6,Field E
8,Team080,Team128,4,14,Field V
8,Team038,Team011,12,11,Field W
8,Team103,Team033,2,15,Field M
8,Team141,Team155,16,13,Field P
8,Team209,Team127,16,1,Field E
8,Team249,Team211,2,18,Field V
8,Team147,Team052,1,18,Field S
8,Team027,Team177,10,10,Field M
8,Team017,Team053,5,1,Field I
8,Team163,Team112,19,3,Field R
8,Team140,Team039,20,3,Field L
8,Team067,Team007,20,3,Field N
8,Team158,Team023,4,1,Field R
8,Team162,Team102,4,0,Field Q
8,Team221,Team082,9,14,Field B
8,Team105,Team098,7,2,Field V
8,Team218,Team010,2,8,Field L
8,Team044,Team234,2,1,Field T
8,Team120,Team069,15,0,Field J
8,Team214,Team135,4,2,Field B
8,Team097,Team012,10,20,Field D
8,Team220,Team129,3,3,Field V
8,Team045,Team005,4,12,Field N
8,Team018,Team246,18,16,Field N
8,Team043,Team181,17,2,Field N
8,Team193,Team170,18,15,Field V
8,Team190,Team002,6,0,Field Q
8,Team009,Team063,4,10,Field T
8,Team025,Team014,6,5,Field J
8,Team138,Team061,11,15,Field Y
8,Team034,Team122,5,18,Field H
8,Team233,Team154,15,10,Field E
